link,name,price,ro_sp_fl
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-boguszowice-osiedle-61m2-mzn2040213899,"
Rybnik, Boguszowice Osiedle ",259 000 zł,"

3 pokoje 61 m² piętro 1/4 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-43m2-mzn2038569509,"
śląskie, Rybnik ",278 000 zł,"

2 pokoje 44 m² piętro 1/1 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-wysoki-standard-nowoczesne-64m2-mzn2039914341,"
śląskie, Rybnik ",315 000 zł,"

3 pokoje 64 m² piętro 6/8 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-smolna-33m2-mzn2039811415,"
Rybnik, Smolna ",165 000 zł,"

1 pokój 34 m² piętro 9/9 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-55m2-mzn2039227077,"
śląskie, Rybnik ",240 000 zł,"

3 pokoje 55 m² piętro 3 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-niedobczyce-stanislawa-leszczynskiego-63m2-mzn2040064070,"
Rybnik, Niedobczyce, Stanisława Leszczyńskiego ",359 900 zł,"

4 pokoje 63 m² piętro 1/1 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-niedobczyce-40m2-mzn2039606514,"
Rybnik, Niedobczyce ",195 000 zł,"

2 pokoje 40 m² piętro 1/1 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-niedobczyce-st-leszczynskiego-58m2-mzn2039003684,"
Rybnik, Niedobczyce, St. Leszczyńskiego ",399 900 zł,"

4 pokoje 58 m² parter 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-mglista-6b-52m2-mzn2039270420,"
śląskie, Rybnik, Mglista ",70 550 zł,"

3 pokoje 53 m² piętro 1/4 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-zamyslow-74m2-mzn2038637401,"
Rybnik, Zamysłów ",400 000 zł,"

3 pokoje 75 m² parter 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-zamyslow-63m2-mzn2038637449,"
Rybnik, Zamysłów ",320 000 zł,"

3 pokoje 64 m² piętro 1/2 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-zamyslow-90m2-mzn2038637534,"
Rybnik, Zamysłów ",455 000 zł,"

4 pokoje 91 m² piętro 1/1 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-obroncow-rybnika-13m2-mzn2038593353,"
śląskie, Rybnik, Obrońców Rybnika ",35 000 zł,"

1 pokój 13 m² parter 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-zamyslow-56m2-mzn2038385277,"
Rybnik, Zamysłów ",332 400 zł,"

2 pokoje 56 m² parter 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-dabrowki-38m2-mzn2039348567,"
śląskie, Rybnik, Dąbrówki ",203 000 zł,"

2 pokoje 39 m² parter 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-zamyslow-76m2-mzn2037562438,"
Rybnik, Zamysłów ",397 390 zł,"

4 pokoje 77 m² piętro 1/1 
"
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-rybnik-srodmiescie-97m2-mzn2037496645,"
Rybnik, Śródmieście ",265 000 zł,"

3 pokoje 97 m² parter 
"
